H: 10276, Al1: 6879, O: 5138, O1: 5000, , water number: 5139 lammps data format
27293 atoms
3 atom types
-21.435529 21.438146 xlo xhi
-21.489091 21.435550 ylo yhi
-291.449073 291.409617 zlo zhi

Masses

1 26.9815  # Al
2  1.0080  # H
3 15.9994  # O

Atoms  # charge

1 1 0.0 18.829825  18.475908  -19.470246 
2 1 0.0 18.829825  18.475908  -15.420666 
3 1 0.0 18.829825  16.451118  -17.445456 
4 1 0.0 18.829825  14.426328  -19.470246 
5 1 0.0 16.805035  18.475908  -17.445456 
6 1 0.0 16.805035  16.451118  -19.470246 
7 1 0.0 14.780245  18.475908  -19.470246 
8 1 0.0 18.829825  18.475908  -11.371086 
9 1 0.0 18.829825  16.451118  -13.395876 
10 1 0.0 18.829825  14.426328  -15.420666 
11 1 0.0 18.829825  12.401538  -17.445456 
12 1 0.0 18.829825  10.376748  -19.470246 
13 1 0.0 16.805035  18.475908  -13.395876 
14 1 0.0 16.805035  16.451118  -15.420666 
15 1 0.0 16.805035  14.426328  -17.445456 
16 1 0.0 16.805035  12.401538  -19.470246 
17 1 0.0 14.780245  18.475908  -15.420666 
18 1 0.0 14.780245  16.451118  -17.445456 
19 1 0.0 14.780245  14.426328  -19.470246 
20 1 0.0 12.755455  18.475908  -17.445456 
21 1 0.0 12.755455  16.451118  -19.470246 
22 1 0.0 10.730665  18.475908  -19.470246 
23 1 0.0 18.829825  18.475908  -7.321506 
24 1 0.0 18.829825  16.451118  -9.346296 
25 1 0.0 18.829825  14.426328  -11.371086 
26 1 0.0 18.829825  12.401538  -13.395876 
27 1 0.0 18.829825  10.376748  -15.420666 
28 1 0.0 18.829825  8.351958  -17.445456 
29 1 0.0 18.829825  6.327168  -19.470246 
30 1 0.0 16.805035  18.475908  -9.346296 
31 1 0.0 16.805035  16.451118  -11.371086 
32 1 0.0 16.805035  14.426328  -13.395876 
33 1 0.0 16.805035  12.401538  -15.420666 
34 1 0.0 16.805035  10.376748  -17.445456 
35 1 0.0 16.805035  8.351958  -19.470246 
36 1 0.0 14.780245  18.475908  -11.371086 
37 1 0.0 14.780245  16.451118  -13.395876 
38 1 0.0 14.780245  14.426328  -15.420666 
39 1 0.0 14.780245  12.401538  -17.445456 
40 1 0.0 14.780245  10.376748  -19.470246 
41 1 0.0 12.755455  18.475908  -13.395876 
42 1 0.0 12.755455  16.451118  -15.420666 
43 1 0.0 12.755455  14.426328  -17.445456 
44 1 0.0 12.755455  12.401538  -19.470246 
45 1 0.0 10.730665  18.475908  -15.420666 
46 1 0.0 10.730665  16.451118  -17.445456 
47 1 0.0 10.730665  14.426328  -19.470246 
48 1 0.0 8.705875  18.475908  -17.445456 
49 1 0.0 8.705875  16.451118  -19.470246 
50 1 0.0 6.681085  18.475908  -19.470246 
51 1 0.0 18.829825  18.475908  -3.271926 
52 1 0.0 18.829825  16.451118  -5.296716 
53 1 0.0 18.829825  14.426328  -7.321506 
54 1 0.0 18.829825  12.401538  -9.346296 
55 1 0.0 18.829825  10.376748  -11.371086 
56 1 0.0 18.829825  8.351958  -13.395876 
57 1 0.0 18.829825  6.327168  -15.420666 
58 1 0.0 18.829825  4.302378  -17.445456 
59 1 0.0 18.829825  2.277588  -19.470246 
60 1 0.0 16.805035  18.475908  -5.296716 
61 1 0.0 16.805035  16.451118  -7.321506 
62 1 0.0 16.805035  14.426328  -9.346296 
63 1 0.0 16.805035  12.401538  -11.371086 
64 1 0.0 16.805035  10.376748  -13.395876 
65 1 0.0 16.805035  8.351958  -15.420666 
66 1 0.0 16.805035  6.327168  -17.445456 
67 1 0.0 16.805035  4.302378  -19.470246 
68 1 0.0 14.780245  18.475908  -7.321506 
69 1 0.0 14.780245  16.451118  -9.346296 
70 1 0.0 14.780245  14.426328  -11.371086 
71 1 0.0 14.780245  12.401538  -13.395876 
72 1 0.0 14.780245  10.376748  -15.420666 
73 1 0.0 14.780245  8.351958  -17.445456 
74 1 0.0 14.780245  6.327168  -19.470246 
75 1 0.0 12.755455  18.475908  -9.346296 
76 1 0.0 12.755455  16.451118  -11.371086 
77 1 0.0 12.755455  14.426328  -13.395876 
78 1 0.0 12.755455  12.401538  -15.420666 
79 1 0.0 12.755455  10.376748  -17.445456 
80 1 0.0 12.755455  8.351958  -19.470246 
81 1 0.0 10.730665  18.475908  -11.371086 
82 1 0.0 10.730665  16.451118  -13.395876 
83 1 0.0 10.730665  14.426328  -15.420666 
84 1 0.0 10.730665  12.401538  -17.445456 
85 1 0.0 10.730665  10.376748  -19.470246 
86 1 0.0 8.705875  18.475908  -13.395876 
87 1 0.0 8.705875  16.451118  -15.420666 
88 1 0.0 8.705875  14.426328  -17.445456 
89 1 0.0 8.705875  12.401538  -19.470246 
90 1 0.0 6.681085  18.475908  -15.420666 
91 1 0.0 6.681085  16.451118  -17.445456 
92 1 0.0 6.681085  14.426328  -19.470246 
93 1 0.0 4.656295  18.475908  -17.445456 
94 1 0.0 4.656295  16.451118  -19.470246 
95 1 0.0 2.631505  18.475908  -19.470246 
96 1 0.0 18.829825  18.475908  0.777654 
97 1 0.0 18.829825  16.451118  -1.247136 
98 1 0.0 18.829825  14.426328  -3.271926 
99 1 0.0 18.829825  12.401538  -5.296716 
100 1 0.0 18.829825  10.376748  -7.321506 
101 1 0.0 18.829825  8.351958  -9.346296 
102 1 0.0 18.829825  6.327168  -11.371086 
103 1 0.0 18.829825  4.302378  -13.395876 
104 1 0.0 18.829825  2.277588  -15.420666 
105 1 0.0 18.829825  0.252798  -17.445456 
106 1 0.0 18.829825  -1.771992  -19.470246 
107 1 0.0 16.805035  18.475908  -1.247136 
108 1 0.0 16.805035  16.451118  -3.271926 
109 1 0.0 16.805035  14.426328  -5.296716 
110 1 0.0 16.805035  12.401538  -7.321506 
111 1 0.0 16.805035  10.376748  -9.346296 
112 1 0.0 16.805035  8.351958  -11.371086 
113 1 0.0 16.805035  6.327168  -13.395876 
114 1 0.0 16.805035  4.302378  -15.420666 
115 1 0.0 16.805035  2.277588  -17.445456 
116 1 0.0 16.805035  0.252798  -19.470246 
117 1 0.0 14.780245  18.475908  -3.271926 
118 1 0.0 14.780245  16.451118  -5.296716 
119 1 0.0 14.780245  14.426328  -7.321506 
120 1 0.0 14.780245  12.401538  -9.346296 
121 1 0.0 14.780245  10.376748  -11.371086 
122 1 0.0 14.780245  8.351958  -13.395876 
123 1 0.0 14.780245  6.327168  -15.420666 
124 1 0.0 14.780245  4.302378  -17.445456 
125 1 0.0 14.780245  2.277588  -19.470246 
126 1 0.0 12.755455  18.475908  -5.296716 
127 1 0.0 12.755455  16.451118  -7.321506 
128 1 0.0 12.755455  14.426328  -9.346296 
129 1 0.0 12.755455  12.401538  -11.371086 
130 1 0.0 12.755455  10.376748  -13.395876 
131 1 0.0 12.755455  8.351958  -15.420666 
132 1 0.0 12.755455  6.327168  -17.445456 
133 1 0.0 12.755455  4.302378  -19.470246 
134 1 0.0 10.730665  18.475908  -7.321506 
135 1 0.0 10.730665  16.451118  -9.346296 
136 1 0.0 10.730665  14.426328  -11.371086 
137 1 0.0 10.730665  12.401538  -13.395876 
138 1 0.0 10.730665  10.376748  -15.420666 
139 1 0.0 10.730665  8.351958  -17.445456 
140 1 0.0 10.730665  6.327168  -19.470246 
141 1 0.0 8.705875  18.475908  -9.346296 
142 1 0.0 8.705875  16.451118  -11.371086 
143 1 0.0 8.705875  14.426328  -13.395876 
144 1 0.0 8.705875  12.401538  -15.420666 
145 1 0.0 8.705875  10.376748  -17.445456 
146 1 0.0 8.705875  8.351958  -19.470246 
147 1 0.0 6.681085  18.475908  -11.371086 
148 1 0.0 6.681085  16.451118  -13.395876 
149 1 0.0 6.681085  14.426328  -15.420666 
150 1 0.0 6.681085  12.401538  -17.445456 
151 1 0.0 6.681085  10.376748  -19.470246 
152 1 0.0 4.656295  18.475908  -13.395876 
153 1 0.0 4.656295  16.451118  -15.420666 
154 1 0.0 4.656295  14.426328  -17.445456 
155 1 0.0 4.656295  12.401538  -19.470246 
156 1 0.0 2.631505  18.475908  -15.420666 
157 1 0.0 2.631505  16.451118  -17.445456 
158 1 0.0 2.631505  14.426328  -19.470246 
159 1 0.0 0.606715  18.475908  -17.445456 
160 1 0.0 0.606715  16.451118  -19.470246 
161 1 0.0 -1.418075  18.475908  -19.470246 
162 1 0.0 18.829825  18.475908  4.827234 
163 1 0.0 18.829825  16.451118  2.802444 
164 1 0.0 18.829825  14.426328  0.777654 
165 1 0.0 18.829825  12.401538  -1.247136 
166 1 0.0 18.829825  10.376748  -3.271926 
167 1 0.0 18.829825  8.351958  -5.296716 
168 1 0.0 18.829825  6.327168  -7.321506 
169 1 0.0 18.829825  4.302378  -9.346296 
170 1 0.0 18.829825  2.277588  -11.371086 
171 1 0.0 18.829825  0.252798  -13.395876 
172 1 0.0 18.829825  -1.771992  -15.420666 
173 1 0.0 18.829825  -3.796782  -17.445456 
174 1 0.0 18.829825  -5.821572  -19.470246 
175 1 0.0 16.805035  18.475908  2.802444 
176 1 0.0 16.805035  16.451118  0.777654 
177 1 0.0 16.805035  14.426328  -1.247136 
178 1 0.0 16.805035  12.401538  -3.271926 
179 1 0.0 16.805035  10.376748  -5.296716 
180 1 0.0 16.805035  8.351958  -7.321506 
181 1 0.0 16.805035  6.327168  -9.346296 
182 1 0.0 16.805035  4.302378  -11.371086 
183 1 0.0 16.805035  2.277588  -13.395876 
184 1 0.0 16.805035  0.252798  -15.420666 
185 1 0.0 16.805035  -1.771992  -17.445456 
186 1 0.0 16.805035  -3.796782  -19.470246 
187 1 0.0 14.780245  18.475908  0.777654 
188 1 0.0 14.780245  16.451118  -1.247136 
189 1 0.0 14.780245  14.426328  -3.271926 
190 1 0.0 14.780245  12.401538  -5.296716 
191 1 0.0 14.780245  10.376748  -7.321506 
192 1 0.0 14.780245  8.351958  -9.346296 
193 1 0.0 14.780245  6.327168  -11.371086 
194 1 0.0 14.780245  4.302378  -13.395876 
195 1 0.0 14.780245  2.277588  -15.420666 
196 1 0.0 14.780245  0.252798  -17.445456 
197 1 0.0 14.780245  -1.771992  -19.470246 
198 1 0.0 12.755455  18.475908  -1.247136 
199 1 0.0 12.755455  16.451118  -3.271926 
200 1 0.0 12.755455  14.426328  -5.296716 
201 1 0.0 12.755455  12.401538  -7.321506 
202 1 0.0 12.755455  10.376748  -9.346296 
203 1 0.0 12.755455  8.351958  -11.371086 
204 1 0.0 12.755455  6.327168  -13.395876 
205 1 0.0 12.755455  4.302378  -15.420666 
206 1 0.0 12.755455  2.277588  -17.445456 
207 1 0.0 12.755455  0.252798  -19.470246 
208 1 0.0 10.730665  18.475908  -3.271926 
209 1 0.0 10.730665  16.451118  -5.296716 
210 1 0.0 10.730665  14.426328  -7.321506 
211 1 0.0 10.730665  12.401538  -9.346296 
212 1 0.0 10.730665  10.376748  -11.371086 
213 1 0.0 10.730665  8.351958  -13.395876 
214 1 0.0 10.730665  6.327168  -15.420666 
215 1 0.0 10.730665  4.302378  -17.445456 
